X,Y
41.586,38.675
41.68,38.274
41.89,37.901
41.878,38.705
41.606,39.007
41.7,38.046
42.01,38.517
41.832,38.693
41.482,39.27
41.689,36.459
41.877,38.197
42.089,39.296
41.428,35.757
39.391,33.14
36.529,30.406
33.422,27.877
30.738,28.18
28.068,30.971
25.435,33.421
24.713,39.076
28.438,41.891
33.011,42.892
37.906,44.848
42.476,45.887
47.405,44.208
51.808,41.65
55.63,39.854
58.398,37.599
61.096,34.683
61.654,32.593
62.566,29.815
62.64,28.125
61.953,27.793
63.261,28.731
68.127,32.613
73.004,38.628
75.86,44.974
75.854,52.664
71.888,59.154
67.318,61.15
65.438,62.147
65.699,62.906
61.809,60.59
56.291,58.811
51.779,60.418
50.164,61.426
49.494,59.285
48.201,56.539
44.981,54.67
44.743,50.904
43.547,48.1
40.778,45.49
38.753,43.365
37.068,41.281
36.514,38.923
37.208,37.651
38.262,37.591
39.549,36.38
39.222,36.327
37.686,36.026
35.553,33.266
32.602,33.362
28.867,35.087
25.618,34.912
23.804,33.758
22.695,33.185
22.928,34.826
24.852,34.622
28.119,35.577
31.598,36.28
36.134,35.524
38.17,34.299
37.096,32.774
35.79,33.465
35.755,38.308
37.908,43.093
41.331,46.51
44.719,49.848
45.954,52.618
46.987,54.339
50.429,55.667
55.154,56.674
60.752,57.654
63.32,55.852
65.763,53.409
68.068,51.446
70.199,49.76
72.291,46.688
72.991,44.334
72.837,42.535
72.794,39.684
72.489,36.858
73.335,34.315
74.037,32.677
74.859,30.712
76.806,28.418
79.0,26.425
80.354,25.168
81.308,23.322
82.271,21.3
82.976,19.912
83.703,18.453
84.293,17.05
84.376,15.348
83.868,14.255
83.863,13.943
84.064,14.936
84.062,16.163
84.243,16.345
82.95,18.003
81.915,19.113
80.911,21.855
79.221,25.237
78.574,27.681
80.657,31.607
83.616,33.743
83.177,38.337
79.692,43.19
75.648,45.655
71.474,46.743
66.383,47.656
60.349,46.433
53.575,44.486
46.897,42.846
41.223,42.665
36.861,40.053
33.765,40.317
33.004,43.939
33.728,47.894
35.406,50.869
35.583,51.341
35.001,50.655
34.266,49.296
33.806,47.596
33.287,46.721
31.823,47.349
30.249,48.866
28.577,50.572
26.443,51.371
25.448,51.696
23.941,51.66
23.95,50.74
23.457,49.183
24.044,47.087
24.564,45.872
24.11,43.416
23.435,39.863
22.519,37.859
22.793,36.198
23.286,35.372
24.884,32.875
25.342,32.834
27.395,31.143
30.706,31.441
35.555,31.19
40.479,30.699
44.679,30.146
46.969,29.144
47.649,28.757
48.966,29.271
51.722,30.427
56.806,29.456
59.984,30.359
62.187,32.311
63.416,35.072
63.535,37.428
63.119,39.524
62.295,42.952
61.277,45.107
60.895,46.98
60.085,49.088
58.098,49.629
55.893,49.705
52.403,50.102
47.5,50.593
42.231,50.814
39.661,53.001
41.954,54.457
45.341,53.826
47.013,53.355
48.021,53.814
52.803,54.759
56.735,55.017
58.839,57.12
61.693,60.019
61.17,60.097
61.975,60.121
62.418,61.139
63.72,61.733
64.682,63.031
65.393,63.922
64.944,62.781
64.805,62.339
64.564,62.548
65.132,62.728
66.527,62.81
68.278,62.344
69.504,59.964
72.039,57.575
77.748,57.679
82.347,60.273
85.708,61.071
87.693,59.177
89.749,58.347
91.111,59.001
91.401,59.603
90.852,59.072
89.624,58.091
87.395,56.983
84.242,54.563
82.011,53.682
80.366,52.4
79.336,52.313
78.442,52.276
77.836,52.302
76.831,51.197
74.88,52.356
73.169,53.293
72.368,54.032
69.622,54.67
67.253,55.243
65.556,56.531
65.531,58.134
65.778,57.717
65.219,58.373
64.678,60.404
64.081,60.201
64.461,61.917
64.864,63.95
64.996,64.317
65.393,62.652
65.548,60.897
66.454,59.059
67.431,57.826
68.574,57.268
69.287,57.022
69.868,56.538
69.669,56.492
69.896,56.164
69.315,56.258
68.285,56.153
67.765,56.12
67.165,55.697
66.151,55.458
66.361,55.969
65.464,56.35
65.305,56.883
65.162,56.096
63.283,53.028
61.326,50.657
60.629,52.093
59.741,53.433
58.573,54.016
56.967,54.347
55.365,52.398
53.061,50.592
51.224,49.557
50.062,48.157
49.135,46.739
48.796,44.482
49.24,42.964
50.398,41.937
52.008,41.286
53.386,41.562
53.279,41.278
51.997,39.992
52.764,37.765
54.849,35.975
57.649,35.123
61.599,34.724
65.214,34.254
69.004,33.478
71.723,32.522
72.589,33.629
71.474,34.336
70.908,34.01
71.801,33.211
72.839,31.491
74.476,31.059
75.974,31.951
77.227,30.253
77.885,29.779
78.289,30.916
76.424,31.632
71.531,30.964
66.916,29.568
63.486,28.985
61.683,30.891
59.285,32.574
56.977,34.557
55.779,33.954
55.72,34.581
55.529,34.401
55.939,33.856
56.584,36.693
56.706,39.66
55.501,43.253
53.906,47.03
52.364,51.877
49.578,55.302
47.061,58.594
44.257,61.708
42.564,64.205
41.599,65.305
39.551,64.758
36.645,63.852
33.187,62.963
30.733,62.409
31.269,62.614
33.391,63.284
35.839,63.432
38.614,63.175
41.526,62.352
43.851,61.123
45.456,58.403
46.231,56.438
45.858,55.558
45.192,54.596
44.43,52.808
44.214,50.787
43.734,47.973
43.312,45.713
43.004,45.367
41.777,45.668
41.175,47.129
41.31,48.907
41.141,50.735
41.432,52.511
40.996,54.677
40.378,57.238
39.258,59.955
37.734,62.426
36.598,63.063
37.341,61.059
38.49,58.615
38.799,56.332
39.04,55.38
39.407,53.659
39.02,51.103
37.341,48.766
34.978,46.44
30.843,45.479
25.713,45.17
19.855,42.229
16.769,40.587
15.704,41.939
17.856,42.851
20.608,42.934
24.084,43.525
27.155,44.563
31.0,44.329
34.135,44.528
36.62,44.998
39.702,44.588
42.331,44.314
44.534,42.92
46.058,40.169
47.784,38.806
49.337,37.555
50.081,37.301
